평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,자료구입비(천원)
2024,LIBTYPE000002,2060125023,관평도서관,대전,유성구,37140,6,9440,134877,58449
2024,LIBTYPE000002,2060141282,광남도서관,경기,광주시,37758,5,6004,73944,81363
2024,LIBTYPE000002,2060141034,광명도서관,경기,광명시,238131,5,13891,141302,123939
2024,LIBTYPE000002,2060141201,광적도서관,경기,양주시,45005,4,3409,23212,41810
2024,LIBTYPE000002,2060121028,교리도서관,부산,기장군,30980,3,5099,129808,60000
2024,LIBTYPE000002,2060141096,교하도서관,경기,파주시,202491,12,48390,261008,149903
2024,LIBTYPE000002,2060125022,구암도서관,대전,유성구,61801,5,9844,107683,60000
2024,LIBTYPE000002,2060125011,구즉도서관,대전,유성구,98884,3,9442,123754,68199
2024,LIBTYPE000002,20601110046,글빛도서관,서울,성북구,26098,6,10834,127493,61406
2024,LIBTYPE000002,2060121019,금곡도서관,부산,북구,80862,4,6144,96600,103018
2024,LIBTYPE000002,2060141265,금사도서관,경기,여주시,16829,1,1116,2917,20000
2024,LIBTYPE000002,2060121027,금샘도서관,부산,금정구,84859,8.5,19689,360715,170540
2024,LIBTYPE000002,2060121008,금정도서관,부산,금정구,243592,9.5,13797,251775,186316
2024,LIBTYPE000002,2060121009,기장도서관,부산,기장군,153366,7,5812,69359,59999
2024,LIBTYPE000002,2060123018,꿈벗도서관,인천,중구,45610,0,701,15272,31422
2024,LIBTYPE000002,2060121002,남구도서관,부산,남구,251666,13,16061,358145,208624
2024,LIBTYPE000002,2060142039,남면도서관,강원,홍천군,22036,0.5,504,10165,27917
